address,balance_now,pct_now,balance_1d_ago,pct_1d_ago,balance_7d_ago,pct_7d_ago,balance_30d_ago,pct_30d_ago
HLnpSz9h2S4hiLQ43rnSD9XkcUThA7B8hQMKmDaiTLcC,47481861.36885359,4.748296105867955,47481861.36885359,4.748296105867955,47481861.36885359,4.748296105867955,47481861.36885359,4.748296105867955
4oFc6fBb3uVwmRMn6wg1W2kGpBq9xLRZLfRjWaKPB8xF,28516071.81418845,2.834304890409212,28516071.81418845,2.834304890409212,28516071.81418845,2.834304890409212,28516071.81418845,2.834304890409212
Bo6d5Tax5WQz6yHg4oN1EkdhDcN3bSWgy8kPCk2Dh2cd,9037767.356484622,0.9037976673064148,9037767.356484622,0.9037976673064148,9037767.356484622,0.9037976673064148,9037767.356484622,0.9037976673064148
G5nxEXuFMfV74DSnsrSatqCW32F34XUnBeq3PfDS7w5E,7187393.790122745,0.7187560251664022,7187393.790122745,0.7187560251664022,7187393.790122745,0.7187560251664022,7187393.790122745,0.7187560251664022
BTeqNydtKyDaSxQNRm8ByaUDPK3cpQ1FsXMtaF1Hfaom,5459526.05655923,0.545965250032293,5459526.05655923,0.545965250032293,5459526.05655923,0.545965250032293,5459526.05655923,0.545965250032293
9MQpMgAtTyuP4v381QcYZLNc8rWrmWBVnDQZzgGWL5mh,5065924.822132404,0.5066042150009311,5065924.822132404,0.5066042150009311,5065924.822132404,0.5066042150009311,5065924.822132404,0.5066042150009311
EZR6yh7iCPPxZvX7EQRCfwqYi8dtMgykbMcsFrDQBJNY,10160423.53565397,1.0160658853185076,10160423.53565397,1.0160658853185076,10160423.53565397,1.0160658853185076,10160423.53565397,1.0160658853185076
4DFkKMiHXGQQzSRLf89VzXmhxDf1enmr9Dj1E1wxqqvX,5815266.11233498,0.5815400795112668,5815266.11233498,0.5815400795112668,5815266.11233498,0.5815400795112668,5815266.11233498,0.5815400795112668
2pi9Ffr2rqqJAHqQ9Jjn2cdPDzkuU5UCFYJ6dx69h9nb,5817431.194039434,0.5817565926960867,5817431.194039434,0.5817565926960867,5817431.194039434,0.5817565926960867,5817431.194039434,0.5817565926960867
HTa6eoHowkEFmWd8M1nVCVTKdhAtumLLG5QAYW8M38K3,5559688.077524296,0.5559816841061321,5559688.077524296,0.5559816841061321,5559688.077524296,0.5559816841061321,5559688.077524296,0.5559816841061321
9VFMLVKMaeppRBcwLfaS3C6Zd3nMNS7VWKALCikcHLgU,4704530.549910631,0.4704639507820715,4704530.549910631,0.4704639507820715,4704530.549910631,0.4704639507820715,4704530.549910631,0.4704639507820715
FfEJMvYc6X7QHxZnxV6m11SNQwvEpPuv1T5J4eBvRVbS,12100814.894836731,1.2101095152236967,12100814.894836731,1.2101095152236967,12100814.894836731,1.2101095152236967,12100814.894836731,1.2101095152236967
5FgkAuj6U4DzVDZPfqWGe6YnRLQofo8NR2z93Vxwcygg,4973982.378263052,0.4974097576733756,4973982.378263052,0.4974097576733756,4973982.378263052,0.4974097576733756,4973982.378263052,0.4974097576733756
DiiPgS3RGknBDZU9B88xARjb3nJXg8tVuvMH1gT6y23P,26003443.78716249,2.6004046032351456,26003443.78716249,2.6004046032351456,26003443.78716249,2.6004046032351456,26003443.78716249,2.6004046032351456
GczZW6G9u1oA4eSJzzGHaAezacbHGSsdEXboUs1TNKKF,5087865.39551946,0.5087983231544629,5087865.39551946,0.5087983231544629,5087865.39551946,0.5087983231544629,5087865.39551946,0.5087983231544629
