address,balance,percentage
48ieXnx5ybcL6n1McBjUfdwzUziF99dGJbc59K7uEVuK,2944757.144289,0.294618506468335600
CL64ohttAVAEn8AW9uaEgWc5d8Diz8VEuZmYEgpyFr39,2890620.058293,0.289202172747362400
6Ch43EiGZVC1Db5LqC915dfzVhv7Jj3KBRBEYwtp7aZ1,2823070.045142,0.282443895914564600
Ay3uyuDDFd8V93YKcQ69J1E5CNugwuZPsWxayySSBLtb,2766297.302256,0.276763868700903600
9RWrZ63GpjoMu6yCb6KeHD5xbYvNnxdxic6ybiVSvWFU,2655491.376936,0.265677903160780100
CyiKPuCvMudorYf5ni8Sqb4Ftwbik6bkjfvHssSjPJWe,2586923.804894,0.258817821097187200
6mQ1NKUCG4KvQQtwMCjd4LaHVxNHcSTHqUpPzexSfV5X,2481019.802918,0.248222285587000900
2mznuX9T6jjbeKGKdEgBXBiZfdobWk12caUQnH8D5S5S,2377193.680123,0.237834638751816300
GUbph8Tn9Y89sHWRVkeRJi9B4e7mZR1zSzfnS5L2rD6G,2360186.472624,0.236133093318003600
3mWvbWWZBSTY3NUWwbVjqvp8KHCXFUPPZtywgQCMdsH6,2261005.91454,0.226210228218559400
CVsG8ypnHmm3smqLCL8rM3WAU7Na7Yw2Y2u38cZCzA15,2251363.337309,0.225245502924382900
CKeswoQ6PP3T2TnY9WhxrZyEjNuZamp21Ej5cEFXsXRB,2209962.44129,0.221103405782272500
3MRrMqJCVaEutEY7zg56aYHt4AWao2nxoqqwy68nJYeF,2113827.488082,0.211485248852600500
GC58eHJETS72H2WcpBFeHosTUvzLmRD1gQfeuhGY8M3h,2098374.993255,0.209939250074409300
9g8qiqxFAH4TFQTPnN8NrLdnMDMVghZYs62cRFGQFddk,2037163.771822,0.203815159783069800
HpKWBLq82XzFk8Ejbj4ZYV5aDjHZxEPAaJpiyTAtjsSW,2000000.0,0.200096980519913200
EnwJ6bcQbN2QSmU37ePndWnFAFpX1E6SKhioBzdzSXfV,1990820.138277,0.199178549213731900
6D8esMtQiw8jsDKbLV1WnbaHngnqxMBrjmfdf4GCwTP7,1879382.835358,0.188029415298044500
8kkFHudn6612nLBYw5ZQwF2Dyxn2mjA67K18n2FuoMUG,1784569.073067,0.178543441524963500
2aEHX64NWFV2C6RP4bRuLPtfzdMtmyfMPnwKRtGyYgYB,1767505.737099,0.176836280522566700
2ZHMc5fUG1wieXX7134hA8W9CrnkeUJLTfdwSSRC8a4n,1733919.427435,0.173476020947280100
CiuhueGLwK1j6yqUQKbf35pRNKd8im3NBEgqhxqpYMh4,1720418.431969,0.172125266733900300
5N2AYw3kHLkpi4qhfwNoUAvsavDZUPDCzD87upaQ6169,1687056.716639,0.168787477482651300
D8h8aUEaQnBRALrcTxLkaLLCQVCASnLVx17E3m6qfuPF,1666215.84055,0.166702379294252100
EWMyn5dUSQwrsQJcBt391ZF729LLGnLATPcdVkaW94Lj,1648065.669275,0.164886482060228700
8kybFqhdyhv7EbhvZ3zmBk4TPY8ZB2bMwCPetBFw4pAQ,1637883.385238,0.163867759914928800
BTK5BSSEmYQrPGmcpk2aX5KEsQ3agfvRXTADmiw6pwAU,1531993.282133,0.153273614965802400
9dsJ14TpbGyUnDVvybWDBJWA8Y5vRzhXn6vvGQmfXoUZ,1501965.998423,0.150269430564009500
AUR1T5NZXbbLTeRxCLCgRReDnRNaSA7wDd36ERC6xp4z,1460181.200277,0.146088924593685200
6oXFJwP2UAYPhmajSZzKWtArNYLJoJz2GmxT6viR6ESL,1420021.726259,0.142071029848550300
T8zYiKTtdF7zuZoqTZoVnMS8vPxuPa21jXzhdxvsW4Z,1397147.280729,0.139782476107740200
ALYuDb8ib7FWTvh7SwpKFeqNU8w2NjmqLk77Fxc25MuR,1331018.492205,0.133166390653194100
5JbzEKrhy7NpSohpeGaztajYhjrhH2uPLMFEziNGnsRQ,1330833.770976,0.133147909573113600
BjpFMQCubyJZsYMbnHdRfFnUwZixAKEYET5C9nmkWuo1,1312563.979344,0.131320044502968000
